title,type,address,rating
Hilton Moscow Leningradskaya ,Гостиница,"​Каланчёвская улица, 21/40, Москва",4.4
Альянс Бородино ,Отель,"​Русаковская улица, 13 ст5, Москва",4.5
Измайловский парк ,Отель,"​Улица Щербаковская, 57а, Москва",4.7
Звезды Арбата ,Отель,"​Улица Новый Арбат, 32, Москва",4.4
"The Carlton, Moscow ",Гостиница,"​Тверская улица, 3, Москва",4.5
Монарх Москва ,Отель,"​МФК Монарх, Ленинградский проспект, 31а ст1, Москва",4.4
Марриотт Империал Плаза ,Гостиницы,"​Улица Краснопрудная, вл12 ст1, Москва",4.4
Cosmos smart Dubininskaya ,Отель,"​Дубининская улица, 33в, Москва",4.7
Ibis Москва Динамо ,Гостиницы,"​Ленинградский проспект, 37 к8, Москва",4.4
Cosmos Moscow Paveletskaya ,Гостиница,"​Улица Кожевническая, 8 ст3, Москва",4.7
Hotel Moscow Krasnoselskaya ,Гостиница,"​Верхняя Красносельская улица, 11а ст4, Москва",4.7
METROPOL Отель Москва ,Г. Москва,"​Театральный проезд, 2, Москва",4.6
Holiday Tagansky ,Гостиница,"​Улица Симоновский Вал, 2, Москва",4.4
Парк Тауэр ,Гостиница,"​Дмитровское шоссе, 27, Москва",4.7
Novotel Москва Киевская ,Отель,"​ТГК Киевский, Киевская улица, 2, Москва",4.4
Ibis Moscow Paveletskaya ,Гостиница,"​Улица Щипок, 22 ст1, Москва",4.1
Балчуг Кемпински Москва ,Отель,"​Улица Балчуг, 1, Москва",4.4
Арткорт Москва ,Гостиница,"​Вознесенский переулок, 7, Москва",4.4
Hampton by Hilton Moscow Rogozhsky Val ,Гостиница,"​Улица Рогожский Вал, 10, Москва",4.8
Лотте Отель Москва ,Отель,"​Новинский бульвар, 8 ст2, Москва",4.7
Садовое кольцо ,Гостиница,"​Проспект Мира, 14 ст2, Москва",4.7
Moscow Holiday hotel ,Гостиницы,"​Улица Мнёвники, 3 к2, Москва",4.4
Hotel Continental ,Гостиница,"​БЦ SUMMIT, Тверская улица, 22, Москва",4.4
Россо рива ,Бизнес-отель,"​Шлюзовая набережная, 6 ст2, Москва",4.7
Select Paveletskaya ,Бизнес-отель,"​Стремянный переулок, 11, Москва",4.7
Гранд мандарин ,Гостиница,"​Гостиница Hotel Mandarin Moscow, Ольховская улица, 23, Москва",3.5
AZIMUT Отель Дербеневская Москва ,Гостиницы,"​Дербеневская улица, 11а ст18, Москва",3.6
Бега ,Гостиничный комплекс,"​Беговая аллея, 11, Москва",4.8
Gesten hotel ,Гостиницы,"​Садовническая набережная, 17, Москва",4.5
Броско отель Москва ,Гостиницы,"​Улица Новый Арбат, 21 ст2, Москва",4.5
Аэрополис ,Отель,"​Ленинградский проспект, 37 к5, Москва",4.1
The St.Regis Moscow Nikolskaya ,Гостиница,"​Улица Никольская, 12, Москва",4.5
Петр I ,Отель,"​Гостиница Петр I, улица Неглинная, 17 ст1, Москва",4.6
Дом на Маяковке ,Отель,"​Большая Садовая улица, 14 ст6, Москва",4.6
Arbat Inn ,Гостиница,"​Смоленская площадь, 6 ст3, Москва",4.5
Пекин ,Отель,"​Большая Садовая улица, 5, Москва",4.6
Андрон-отель на Площади Ильича ,Отель,"​Съезжинский переулок, 8 ст1, Москва",3.2
Арома-отель на Кожуховской ,Гостиницы,"​Улица Петра Романова, 7 ст2, Москва",4.1
Валс ,Гостиница,"​Дубининская улица, 35, Москва",4.4
Ibis Москва центр ,Гостиница,"​Ibis Moscow Centre Bakhrushina, улица Бахрушина, 11, Москва",4.6
Фили ,Парк-отель,"​Большая Филёвская улица, 25, Москва",4.4
